date,meeting_title,category,URL
January,,other,
February,,other,
March,,other,
April,,other,
May,,other,
June,,other,
July,,other,
August,,other,
September,,other,
October,,"October 13, 2014 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2014-10-13.pdf
November,,"November 10, 2014 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2014-11-10.pdf
December,,other,
January,,"January 12, 2015 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2015-01-12.pdf
February,,"February 9, 2015 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2015-02-09.pdf
March,,"March 9, 2015 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2015-03-09.pdf
April,,"April 13, 2015 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2015-04-13.pdf
May,,"May 11, 2015 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2015-05-11.pdf
June,,"June 8, 2015 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2015-06-08.pdf
July,,"July 13, 2015 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2015-07-13.pdf
August,,"August 10, 2015 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2015-08-10.pdf
September,,"September 14, 2015 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2015-09-14.pdf
October,,other,
November,,"November 9, 2015 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2015-11-09.pdf
December,,"December 14, 2015 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2015-12-14.pdf
January,,"January 11, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-01-11.pdf
February,,"February 8, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-02-08.pdf
March,,"March 14, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-03-14.pdf
April,,"April 11, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-04-11.pdf
May,,other,
June,,"June 13, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-06-13.pdf
July,,"July 11, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-07-11.pdf
August,,other,
